Transaction_ID,Patient_ID,Operation,Start_Time,End_Time,Latency_Seconds,Status
125,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524753.594652328,1771524753.710082573,.115430245,SUCCESS
126,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524753.825005501,1771524753.931094911,.106089410,SUCCESS
127,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524754.046727463,1771524754.156099391,.109371928,SUCCESS
128,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524754.269959279,1771524754.370512990,.100553711,SUCCESS
129,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524754.484045067,1771524754.605990046,.121944979,SUCCESS
130,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524754.719341016,1771524754.823385753,.104044737,SUCCESS
131,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524754.938064571,1771524755.055307582,.117243011,SUCCESS
132,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524755.169865595,1771524755.275399785,.105534190,SUCCESS
133,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524755.397229759,1771524755.516438940,.119209181,SUCCESS
134,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524755.631189061,1771524755.733182224,.101993163,SUCCESS
135,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524755.846827205,1771524755.953131622,.106304417,SUCCESS
136,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524756.068097650,1771524756.177291771,.109194121,SUCCESS
137,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524756.294081666,1771524756.410172635,.116090969,SUCCESS
138,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524756.526048095,1771524756.632846630,.106798535,SUCCESS
139,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524756.747469847,1771524756.868268685,.120798838,SUCCESS
140,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524756.989020721,1771524757.094471407,.105450686,SUCCESS
141,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524757.210251965,1771524757.345904536,.135652571,SUCCESS
142,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524757.461798698,1771524757.566752466,.104953768,SUCCESS
143,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524757.682605828,1771524757.792796185,.110190357,SUCCESS
144,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524757.909334770,1771524758.026183866,.116849096,SUCCESS
145,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524758.140907685,1771524758.253548530,.112640845,SUCCESS
146,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524758.368951274,1771524758.475927816,.106976542,SUCCESS
147,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524758.589316188,1771524758.706482395,.117166207,SUCCESS
148,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524758.820613294,1771524758.930815851,.110202557,SUCCESS
149,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524759.048955594,1771524759.173366961,.124411367,SUCCESS
150,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524759.290029951,1771524759.427270179,.137240228,SUCCESS
151,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524759.542738225,1771524759.666145257,.123407032,SUCCESS
152,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524759.780941179,1771524759.887375001,.106433822,SUCCESS
153,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524760.001021982,1771524760.119512937,.118490955,SUCCESS
154,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524760.233581634,1771524760.335707401,.102125767,SUCCESS
155,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524760.449621892,1771524760.558390995,.108769103,SUCCESS
156,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524760.672325682,1771524760.784546807,.112221125,SUCCESS
157,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524760.902035621,1771524761.030267721,.128232100,SUCCESS
158,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524761.144587621,1771524761.254103949,.109516328,SUCCESS
159,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524761.370912339,1771524761.535534444,.164622105,SUCCESS
160,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524761.649743440,1771524761.759975194,.110231754,SUCCESS
161,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524761.874558903,1771524761.988543092,.113984189,SUCCESS
162,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524762.103783025,1771524762.213589764,.109806739,SUCCESS
163,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524762.328858398,1771524762.438231221,.109372823,SUCCESS
164,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524762.552133607,1771524762.661040214,.108906607,SUCCESS
165,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524762.775642224,1771524762.895302316,.119660092,SUCCESS
166,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524763.010533949,1771524763.121324723,.110790774,SUCCESS
167,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524763.238412222,1771524763.348906886,.110494664,SUCCESS
168,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524763.463404892,1771524763.611180792,.147775900,SUCCESS
169,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524763.726738238,1771524763.844669368,.117931130,SUCCESS
170,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524763.959825098,1771524764.083956150,.124131052,SUCCESS
171,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524764.199429692,1771524764.356819437,.157389745,SUCCESS
172,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524764.472237977,1771524764.581752505,.109514528,SUCCESS
173,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524764.697098943,1771524764.811641652,.114542709,SUCCESS
